no,surface,filter,ui_control,options,expected_behavior,api_logic,db_table,db_column,data_available,coverage,actual_behavior,ui_db_match,status,notes
47,B. Tracked Accounts,Hanya yang punya rate card,Toggle,on / off,Menampilkan hanya akun yang sudah punya harga,Client-side `filters.ratedOnly && !p.hasRate`; sumber `listRateCards(orgId)`,public.discover_rate_cards (warehouse),base_rate,Tidak,0 / total akun = 0%,"`public.discover_rate_cards` berisi 0 baris, jadi `hasRate` selalu false dan toggle ini selalu mengosongkan grid.",MISMATCH,MISMATCH,"Tabelnya ada dan query-nya benar, datanya yang belum pernah diisi. Efeknya sama dengan 'Max. rate card' di Creator Database: dinyalakan → 0 hasil, tanpa penjelasan apa pun di UI."
48,B. Tracked Accounts,Sort,Select (10 opsi),Best in campaign / Least in campaign / Best brand fit / Most followers / Highest reach / Highest ER / Most authentic / Highest EMV / Most posts / Name A–Z — Hardcoded `SORTS`,Mengurutkan hasil,Client-side `[...out].sort(cmp[filters.sort])`,Campuran,campuran live/calculated/estimated,Sebagian,"3 dari 10 kunci terukur (ER, posts, name)",Diurutkan di memori setelah filter. Default-nya `brandFit` — kunci yang dimodelkan.,PARTIAL,PARTIAL,"Urutan default layar ini adalah 'Best brand fit', yaitu skor yang 80% dimodelkan. Baris teratas yang dilihat user pertama kali ditentukan sebagian besar oleh generator."
49,C. My Creators,Pencarian (q),Text Input + debounce,Teks bebas,Mencari creator milik org,GET /discover/creators?q= → SQL `(username ILIKE $n OR display_name ILIKE $n)`,public.discover_creators (warehouse),"username, display_name",Ya,4 / 4 = 100%,Server-side. Mencari username DAN display_name — lebih lengkap dari Creator Database.,YES,YES,Implementasi paling benar di antara semua kotak pencarian Discovery. Pola ini yang sebaiknya dipakai juga di Creator Database.
50,C. My Creators,Platform,Select,Dinamis dari facets org,Menyaring creator org ke satu platform,GET ...?platform= → SQL `platform = $n`,public.discover_creators (warehouse),platform,Ya,4 / 4 = 100% (semuanya instagram),"Server-side, opsi dari facets.",YES,YES,"Hanya ada satu platform di data (instagram), jadi filter ini praktis tidak punya efek sampai ada creator tiktok."
51,C. My Creators,Kategori,Select,Dinamis dari facets org,Menyaring creator org ke satu kategori,GET ...?category= → SQL `category = $n`,public.discover_creators (warehouse),category,Tidak,0 / 4 = 0%,"Server-side dan benar, tapi dropdown-nya kosong karena facets tidak mengembalikan kategori apa pun.",YES,NOT AVAILABLE,"Kolomnya ada, query-nya benar, isinya NULL untuk keempat creator. Profiling belum pernah mengisi `category`."
52,C. My Creators,Location,Select,Dinamis dari facets org (`cityOptions`),Menyaring creator org berdasarkan kota,GET ...?city= → SQL `city = $n`,public.discover_creators (warehouse),city,Tidak,0 / 4 = 0%,"Server-side dan benar, dropdown kosong.",YES,NOT AVAILABLE,"Sama dengan Kategori: kolom ada, data tidak ada. Berbeda dengan Smart Discovery yang memaksa 7 kota hardcoded ke dropdown yang sama-sama tidak berdata."
53,C. My Creators,Tier,Select,Dinamis dari facets org,Menyaring creator org ke satu band follower,GET ...?tier= → SQL `tier = $n`,public.discover_creators (warehouse),tier,Ya,4 / 4 = 100%,"Server-side, opsi dari facets.",YES,YES,Berfungsi penuh atas data nyata.
54,C. My Creators,Status profiling,Select,Dinamis dari data,Menyaring creator berdasarkan status profiling,GET ...?status= → SQL `profiling_status = $n`,public.discover_creators (warehouse),profiling_status,Ya,4 / 4 = 100% (semuanya 'ready'),Server-side.,YES,YES,"Semua creator berstatus 'ready', jadi filter ini belum pernah menyaring apa pun dalam praktik."
55,C. My Creators,Followers,Select (SelectPill),Hardcoded `FOLLOWER_STEPS`,Menampilkan hanya creator dengan follower ≥ ambang,GET ...?follMin= → SQL `followers >= $n`,public.discover_creators (warehouse),followers,Ya,4 / 4 = 100%,Server-side.,YES,YES,Berfungsi penuh.
56,C. My Creators,Engagement,Select (SelectPill),Hardcoded `ER_STEPS`,Menampilkan hanya creator dengan ER ≥ ambang,GET ...?minEr= → SQL `er_pct >= $n`,public.discover_creators (warehouse),er_pct,Sebagian,3 / 4 = 75%,"Server-side, dengan penjagaan `if (f.minErPct && f.minErPct > 0)` sehingga 0 tidak ikut jadi kondisi.",YES,YES,Satu creator ber-er_pct NULL akan hilang begitu ambang dipasang — perilaku yang sama dengan Creator Database dan memang benar.
57,D. Smart Discovery,Reference creator (pencarian),Text Input + hasil klik,Hasil dari Creator Database,Memilih creator acuan untuk pencarian kemiripan,GET /discover/kol-directory?q=&pageSize=12,public.kol_directory,username,Ya,"7.498 / 7.720 = 97,1%",Server-side lewat endpoint Creator Database.,YES,YES,"Mewarisi keterbatasan yang sama: hanya mencari username, bukan nama asli."
58,D. Smart Discovery,Platform,Select (SelectPill),Dinamis / default mengikuti platform acuan,Membatasi kandidat ke satu platform,GET /discover/creators/similar?platform= → diteruskan ke listKolDirectory,public.kol_directory → public.platforms,platform_id → key,Ya,"7.496 / 7.720 = 97,1%",Server-side.,YES,YES,"Default-nya mengikuti platform creator acuan, yang merupakan perilaku yang tepat."
59,D. Smart Discovery,Tier,Select (SelectPill),Any tier / Nano / Micro / Mid-tier / Macro / Mega — Hardcoded `TIERS` (vocab.ts),Membatasi kandidat ke satu band follower,GET ...?tier= → diteruskan sebagai `tiers: [tier]`,public.kol_directory ⋈ public.kol_tiers,followers_count → t.name,Ya,"7.194 / 7.720 = 93,2%",Server-side.,PARTIAL,PARTIAL,"Daftar tier di sini hardcoded di vocab.ts, sementara Creator Database mengambilnya dinamis dari `kol_tiers`. Kebetulan kelima namanya identik hari ini — kalau band di DB diubah/ditambah, layar ini tidak ikut berubah."
60,D. Smart Discovery,Location,Select (SelectPill),Any location / Jakarta / Bandung / Surabaya / Medan / Yogyakarta / Bali / Makassar — Hardcoded `LOCATIONS`,Membatasi kandidat ke satu kota,GET ...?city= → `.filter(c => (c.city ?? '').toLowerCase() === city)`,public.kol_directory / public.discover_creators,creator_city / city,Tidak,0 / 7.720 = 0%,"Filter dieksekusi di server tapi atas kolom yang seluruhnya NULL. Memilih kota apa pun → 0 kandidat, tanpa penjelasan.",MISMATCH,MISMATCH,Dropdown menawarkan 7 kota yang tidak satu pun punya creator. Ini kebalikan dari Creator Database yang justru mendisable kontrol lokasinya karena tahu datanya kosong — dua layar mengambil keputusan berbeda atas kolom yang sama.
61,D. Smart Discovery,Rate card,Select (SelectPill),Any rate card / Under 5 juta / Under 10 juta / Under 25 juta / Under 50 juta — Hardcoded `RATE_STEPS`,Membatasi kandidat ke yang harganya di bawah plafon,GET ...?maxRate= → diteruskan ke listKolDirectory `maxRate`,l1_silver.unified_rate_card,u.fee,Tidak,0 / 7.720 = 0%,"Memilih plafon apa pun → 0 kandidat, karena tabel rate card kosong.",MISMATCH,MISMATCH,"Masalah yang sama dengan 'Max. rate card' di Creator Database, tapi di sini tanpa teks peringatan sama sekali."
62,D. Smart Discovery,Lower price than the reference,Chip / Toggle,on / off,Hanya menampilkan kandidat yang lebih murah dari creator acuan,GET ...?cheaper=1 → `maxRate = reference.rateFrom - 1`,l1_silver.unified_rate_card,u.fee,Tidak,0 / 7.720 = 0%,"`reference.rateFrom` selalu null, sehingga cabang ini tidak pernah memasang plafon dan toggle-nya jadi no-op diam.",MISMATCH,NOT AVAILABLE,"Berbeda dari dua filter rate card lain: yang ini tidak mengosongkan grid, tapi juga tidak melakukan apa-apa. Toggle menyala, hasil tidak berubah — user tidak punya cara tahu."
63,E. Discovery Hub,Search box (hub),Text Input + submit,Teks bebas,Mengantar query ke Creator Database,Menulis `?q=` ke URL → di-seed ke `query` dan `search` KolDirectoryPage,public.kol_directory,username,Ya,"7.498 / 7.720 = 97,1%",Bukan filter tersendiri — hanya meneruskan query ke Creator Database. Di-seed ke dua state sekaligus agar tidak memicu dua request.,YES,YES,Implementasinya benar. Mewarisi keterbatasan pencarian username-only.
